sexo,educacao,estado_civil,idade,vl_fatura,inadimplente
2,2,1,24,0.0,1
2,2,2,26,3261.0,1
2,2,2,34,15549.0,0
2,2,1,37,29547.0,0
1,2,1,57,19131.0,0
1,1,2,37,20024.0,0
1,1,2,29,473944.0,0
2,2,2,23,567.0,0
2,3,1,28,3719.0,0
1,3,2,35,13912.0,0
2,3,2,34,3731.0,0
2,1,2,51,13668.0,0
2,2,2,41,2870.0,0
1,2,2,30,36894.0,1
1,1,2,29,55512.0,0
2,3,3,23,30211.0,0
1,1,2,24,19104.0,1
1,1,1,49,195599.0,0
2,1,1,49,0.0,0
2,1,2,29,0.0,0
2,3,2,39,930.0,0
2,2,1,39,316.0,1
2,2,2,26,46012.0,1
2,1,1,40,0.0,1
1,1,2,23,8292.0,0
1,3,2,23,30046.0,0
1,1,2,27,-189.0,1
2,3,2,30,19617.0,0
2,3,1,47,257.0,0
1,1,2,26,11400.0,0
2,1,2,27,36923.0,0
1,2,2,33,23680.0,1
1,1,2,32,75589.0,0
2,2,1,54,8981.0,0
1,1,1,58,5293.0,0
1,1,2,30,-1884.0,0
1,2,1,40,177413.0,0
2,2,2,22,18660.0,0
1,1,2,25,0.0,1
1,1,2,31,9477.0,0
1,1,2,33,179224.0,0
2,1,2,25,65970.0,0
1,2,2,22,4451.0,0
2,2,1,37,69802.0,0
2,1,2,30,29197.0,0
1,1,2,29,0.0,1
2,1,2,22,0.0,1
2,5,2,46,0.0,1
1,2,2,32,11873.0,0
1,1,2,24,20063.0,0
1,3,2,42,39362.0,1
2,3,3,43,33258.0,0
2,2,1,49,464.0,0
2,1,2,25,45319.0,0
2,1,2,29,16540.0,0
2,1,1,45,2530.0,0
2,3,1,34,8321.0,0
2,2,1,34,129918.0,0
2,1,2,34,1414.0,0
2,2,1,29,364089.0,0
2,3,1,28,15571.0,1
1,2,1,39,830.0,0
1,1,2,29,28264.0,1
2,2,1,46,0.0,1
2,2,1,51,0.0,0
1,1,1,57,7918.0,1
1,2,1,56,4326.0,1
2,1,2,30,4250.0,0
2,3,2,29,7319.0,0
1,5,2,22,5982.0,0
1,1,2,31,390.0,0
1,2,2,29,63526.0,1
2,2,1,32,3151.0,0
2,1,2,37,0.0,0
1,1,2,32,25820.0,0
1,2,2,24,18543.0,0
1,3,2,25,10030.0,0
2,1,1,45,291.0,0
2,2,2,22,6411.0,1
2,2,2,44,0.0,1
2,3,3,33,29889.0,0
2,1,2,26,196.0,0
1,3,2,30,19771.0,1
2,2,1,44,94058.0,0
2,3,2,49,19482.0,0
1,2,2,33,120418.0,0
2,1,1,45,390.0,1
2,2,2,32,766.0,0
2,1,1,35,1190.0,0
1,3,2,44,11970.0,0
1,1,1,53,149531.0,1
2,1,2,39,0.0,0
2,1,2,27,0.0,0
2,2,1,37,0.0,0
2,2,2,23,19323.0,0
1,2,2,35,30835.0,0
1,1,1,43,9956.0,0
1,1,2,27,40788.0,0
2,3,1,22,7899.0,0
1,2,1,38,150.0,1
1,1,2,32,1430.0,0
2,1,2,30,34056.0,0
1,1,1,63,469961.0,0
2,3,2,22,24094.0,1
2,2,2,26,55305.0,0
2,2,2,24,26529.0,0
2,2,1,36,1150.0,0
1,1,2,52,5263.0,0
1,2,2,38,126568.0,0
1,2,1,35,-103.0,0
2,1,1,31,107289.0,0
1,3,1,47,17393.0,0
1,2,1,41,149415.0,0
2,1,2,24,59713.0,0
1,2,2,41,19957.0,0
1,1,2,24,21201.0,1
1,1,2,28,326.0,0
1,2,2,26,18186.0,1
1,2,1,34,7959.0,0
2,2,2,38,1203.0,0
1,3,2,37,51143.0,1
1,1,1,40,0.0,1
2,1,1,48,0.0,0
2,2,1,35,198889.0,1
1,1,2,27,15630.0,0
1,2,2,23,0.0,0
1,3,2,52,104993.0,0
1,1,1,36,95927.0,1
1,2,1,51,7077.0,1
1,3,1,55,26547.0,0
2,1,2,23,5906.0,0
1,1,2,41,1737.0,0
1,2,1,34,188108.0,0
1,3,1,46,228203.0,0
2,2,2,22,-780.0,0
1,2,1,34,13891.0,0
1,1,2,27,30229.0,0
2,2,1,33,5708.0,0
2,3,1,51,0.0,1
1,1,2,24,18995.0,0
1,1,2,47,0.0,1
1,2,2,28,416.0,0
1,2,2,23,18065.0,0
1,2,2,29,15846.0,0
1,1,2,29,339.0,0
1,1,2,28,10138.0,0
2,2,2,27,9100.0,1
1,1,2,34,59875.0,0
2,2,1,23,12034.0,0
2,1,1,60,869.0,0
1,2,1,32,55251.0,0
1,1,2,25,31826.0,0
1,1,2,41,0.0,0
2,2,1,56,169311.0,0
2,3,2,26,14206.0,0
1,1,1,34,48699.0,0
2,1,2,37,94031.0,0
2,3,2,30,122324.0,0
1,3,1,45,154105.0,1
1,3,1,57,14083.0,0
1,1,2,41,28321.0,0
1,2,2,27,540.0,0
1,3,1,47,423.0,0
2,1,1,34,160220.0,0
2,2,1,46,27756.0,0
2,1,2,27,77254.0,0
1,1,2,50,13453.0,0
1,2,1,27,-246.0,0
2,2,1,35,88290.0,0
2,2,2,22,28806.0,0
1,2,2,37,24641.0,0
2,1,2,30,800.0,0
2,2,2,22,7725.0,0
2,1,2,24,-3272.0,1
1,1,2,29,0.0,0
1,3,1,56,71345.0,1
1,1,2,30,5380.0,0
1,2,2,30,22361.0,0
2,2,2,22,14906.0,0
2,2,1,29,11486.0,0
1,1,2,37,1256.0,0
2,3,2,35,17460.0,0
2,1,1,47,70064.0,0
2,2,1,24,19395.0,1
1,2,2,25,1620.0,0
2,2,1,38,16448.0,1
2,1,2,32,16240.0,0
2,3,2,47,189915.0,1
2,2,1,34,14636.0,0
2,2,2,31,20487.0,0
1,1,2,32,43328.0,0
2,1,2,27,22873.0,1
2,1,2,29,17042.0,0
2,1,2,24,0.0,0
1,2,1,36,658.0,0
